,region,abb,fips.numeric,fips.character,D,R,sum,Dem,Rep,Polarity
47,vermont,VT,50,50,18,5,23,78.26086957,21.73913043,0 - 35
7,connecticut,CT,9,9,54,21,75,72,28,0 - 35
20,massachusetts,MA,25,25,124,49,173,71.67630058,28.32369942,0 - 35
21,maryland,MD,24,24,96,45,141,68.08510638,31.91489362,0 - 35
35,new york,NY,36,36,641,330,971,66.01441813,33.98558187,0 - 35
40,rhode island,RI,44,44,32,18,50,64,36,35 - 40
38,oregon,OR,41,41,65,39,104,62.5,37.5,35 - 40
24,minnesota,MN,27,27,106,64,170,62.35294118,37.64705882,35 - 40
5,california,CA,6,6,633,397,1030,61.45631068,38.54368932,35 - 40
49,wisconsin,WI,55,55,57,37,94,60.63829787,39.36170213,35 - 40
8,district of columbia,DC,11,11,1463,995,2458,59.51993491,40.48006509,40 - 45
33,new mexico,NM,35,35,23,16,39,58.97435897,41.02564103,40 - 45
15,illinois,IL,17,17,130,99,229,56.76855895,43.23144105,40 - 45
9,delaware,DE,10,10,22,17,39,56.41025641,43.58974359,40 - 45
39,pennsylvania,PA,42,42,140,109,249,56.2248996,43.7751004,40 - 45
12,hawaii,HI,15,15,25,20,45,55.55555556,44.44444444,40 - 45
48,washington,WA,53,53,143,115,258,55.42635659,44.57364341,40 - 45
32,new jersey,NJ,34,34,89,72,161,55.27950311,44.72049689,40 - 45
6,colorado,CO,8,8,92,75,167,55.08982036,44.91017964,40 - 45
13,iowa,IA,19,19,50,42,92,54.34782609,45.65217391,45 - 50
28,north carolina,NC,37,37,99,87,186,53.22580645,46.77419355,45 - 50
23,michigan,MI,26,26,102,92,194,52.57731959,47.42268041,45 - 50
41,south carolina,SC,45,45,62,56,118,52.54237288,47.45762712,45 - 50
25,missouri,MO,29,29,65,62,127,51.18110236,48.81889764,45 - 50
45,utah,UT,49,49,31,31,62,50,50,50 - 55
31,new hampshire,NH,33,33,19,20,39,48.71794872,51.28205128,50 - 55
26,mississippi,MS,28,28,20,24,44,45.45454545,54.54545455,50 - 55
29,north dakota,ND,38,38,15,18,33,45.45454545,54.54545455,50 - 55
4,arizona,AZ,4,4,79,97,176,44.88636364,55.11363636,55 - 60
19,louisiana,LA,22,22,51,64,115,44.34782609,55.65217391,55 - 60
22,maine,ME,23,23,15,19,34,44.11764706,55.88235294,55 - 60
11,georgia,GA,13,13,100,127,227,44.05286344,55.94713656,55 - 60
34,nevada,NV,32,32,47,61,108,43.51851852,56.48148148,55 - 60
10,florida,FL,12,12,201,266,467,43.04068522,56.95931478,55 - 60
16,indiana,IN,18,18,47,64,111,42.34234234,57.65765766,55 - 60
36,ohio,OH,39,39,98,134,232,42.24137931,57.75862069,55 - 60
46,virginia,VA,51,51,123,172,295,41.69491525,58.30508475,55 - 60
44,texas,TX,48,48,259,375,634,40.85173502,59.14826498,55 - 60
37,oklahoma,OK,40,40,30,45,75,40,60,60 - 65
50,west virginia,WV,54,54,14,21,35,40,60,60 - 65
2,alabama,AL,1,1,40,62,102,39.21568627,60.78431373,60 - 65
27,montana,MT,30,30,9,16,25,36,64,60 - 65
43,tennessee,TN,47,47,61,109,170,35.88235294,64.11764706,60 - 65
30,nebraska,NE,31,31,16,30,46,34.7826087,65.2173913,65 - 100
51,wyoming,WY,56,56,4,8,12,33.33333333,66.66666667,65 - 100
3,arkansas,AR,5,5,17,35,52,32.69230769,67.30769231,65 - 100
42,south dakota,SD,46,46,7,15,22,31.81818182,68.18181818,65 - 100
14,idaho,ID,16,16,8,19,27,29.62962963,70.37037037,65 - 100
18,kentucky,KY,21,21,20,51,71,28.16901408,71.83098592,65 - 100
1,alaska,AK,2,2,7,18,25,28,72,65 - 100
17,kansas,KS,20,20,16,42,58,27.5862069,72.4137931,65 - 100
